id,name,address,age
0,1RBL5I,F663ALXQYIWZSDN1DES3,61.411036255404724
1,2NUTQ4,LL817MMV6HGUMVPW7QU4,75.16927238320746
2,8ZH9Y1,PN2VGK5UBW0JCFJM51TM,36.71311529215654
3,CDPS8W,AKUS8SVKC14IRZ2M8JSZ,67.18164962462045
4,U6TI2Q,24UII2ZXRI9ZCCMH4F6B,47.555912695071356
5,KND7XY,AVNZ88MJHQO7FRNPF0YQ,32.751298874332456
6,L7DH0Z,6G5GMAN2BVLM7KIVKYDU,53.191709477688384
7,VB0KB2,R4QC2NVQP7B9I9HEDDQB,62.60077268800065
8,V3OMG7,JMUV8XXJ769FRDP4ANZK,59.88049383908609
9,MEV7UJ,XYFRJNT0WHMHTBUODKEZ,28.450048819217955
10,YOX84Y,W28XAOYP80C0K9N5POJ3,74.9038142416021
11,FLOIK1,MW85QIG9VIT0ZKJEW2VC,25.35181281155777
12,0YOH3V,8US7HE990XY31ZMFJ7MP,56.41620816613197
13,GRMH93,BFC7ODUEZWFLGVE4J8QH,65.63698056787274
14,F3KH2K,4KBD55JBQOIXJA7O9N3V,73.92743692603597
15,2P6DJ8,E1SHB51CE9MY8ZX9ZYI8,7.37386554915469
16,CVVL8V,X02HQDKS0V59JC78GBWO,73.5064777440242
17,OSDEVE,GJ4ZK4WH8JQY0EQGPJG9,11.559289504107417
18,53VQXI,OL0FNWBMFH8ULX85WI8D,24.04517195203827
19,8MXNYH,KRRIUZXCK87IUTSUDVEK,7.652393283883296
20,JA8Z77,SQC3R6EIPLRBB647NTDC,8.045735680655785
21,MEOFJ1,NS2DTIEWW6Y06NNXWC7Q,77.01559490614449
22,N8VVM0,ZY6LWQ3GZWP451HAJBSJ,94.4310303417254
23,4446PV,00GZTXJHQ30J01AJJRH5,86.41827532872517
24,D6ILGN,SZ8499V6PG0KI4TDHTFX,6.440107262492578
25,EMO3KA,D80B4FY5VGPPPCWGUKA3,71.7109437926048
26,HG0HC1,U8K0K8FK7TTZHFWOB9U9,71.64649981608443
27,YU1FWN,E45A2EC6XV21NLHR953N,61.491985054362786
28,16G3UD,006E127J0E0P3R8D7755,24.427499437773147
29,4QHO6C,U53A06RJD6YXPBKWMZR5,80.97885365062778
30,APAID9,DELV18QGGV0LWF4QXGIU,10.155901418994596
